Group Enrollment Form: County,Program Address,Program City,Program Name ,Program: Location,Group Enrollment Form: Number
Jackson,,,,Carbondale Library,1694
Jackson,,,,Giant City School,348
Jackson,,,,Extension Office,1200
Jackson,,,,"Desoto Grade School 311 Hurst Rd, De Soto, IL 62924",8240
Jackson,,,,"Desoto Elementary School, 311 Hurst Rd., De Soto, IL 62924",5235
Jackson,,,,"Giant City School 1062 Boskydell Road, Carbondale, IL 62902",8239
Jackson,,,,"Boys & Girls Club of Carbondale  250 N Springer St, Carbondale, IL",8560
Jackson,,,,,3194
Jackson,,,,Lewis Elementary School,3225
Jackson,,,,"Lewis School  801 S Lewis Ln, Carbondale, IL",8936
Jackson,,,,IDOT Carbondale,1204
Jackson,,,,Desoto,189
Jackson,,,,"Carbondale Rebound High School, 205 N Oakland Ave, Carbondale, IL 62901",7502
Jackson,,,,"Duquoin State Fairgrounds, 655 Executive Dr, Du Quoin, IL 62832",7541
Jackson,,,,"Unity Point CCSD 140, 4033 S Illinois Ave., Carbondale, IL 62903",5236
Jackson,,,,Carbondale,186
Jackson,,,,Carbondale,184
Jackson,,,,"SIU Campus - Student Center, 1255 Lincoln Dr., Carbondale, IL 62901",5234
Jackson,,,,John A. Logan College,1203
Jackson,,,,"John A. Logan College 700 Logan College Dr, Carterville, IL",8938
Jackson,,,,"John A. Logan Community CollegeJohn A. Logan Community College 700 Logan College Dr, Carterville, IL 62918",6257
Jasper,,,,"1401 Clayton Ave., Newton, IL",11262
Jasper,,,,"Sunrise Youth Center, Newton, IL",3181
Jasper,,,,"Sunrise Youth Center, Newton, IL",3185
Jasper,,,,"201 West End Ave, Newton, IL",11329
Jasper,,,,"1401 Clayton Ave., Newton, IL",11287
Jasper,,,,"1401 Clayton Ave., Newton, IL",11327
Jasper,,,,"Sam Parr State Park, 13225 IL-33, Newton, IL",11272
Jasper,,,,Sunrise Youth Center,7618
Jasper,,,,Sunrise Youth Center,7622
Jasper,,,,Sunrise Youth Center,7612
Jasper,,,,"Sunrise Youth Center & Community Building, Newton, IL",4119
Jasper,,,,"Sam Parr State Park, Newton",4054
Jasper,,,,"9003 N 325th St, Wheeler, IL",11322
Jasper,,,,"Sunrise Youth Center, Newton, IL",3183
Jasper,,,,"1401 Clayton Ave., Newton, IL",11285
Jasper,,,,"Jasper County Fairgrounds, Newton, IL",3171
Jasper,,,,"Sunrise Youth Center, Newton, IL",3192
Jasper,,,,Sunrise Youth Center,7589
Jasper,,,,Sunrise Youth Center,7595
Jasper,,,,"1401 Clayton Ave., Newton, IL",11320
Jasper,,,,"213 S Cumberland St, Willow Hill, IL",11238
Jasper,,,,"1300 Fairground Ave., Newton, IL",7960
Jasper,,,,"1401 Clayton Ave., Newton, IL",11319
Jasper,,,,"306 W Jourdan St, Newton, IL",11264
Jasper,,,,St. Thomas,7597
Jasper,,,,"Grove Community Center, Montrose, IL",3165
Jasper,,,,"1401 Clayton Ave., Newton, IL",11306
Jasper,,,,"Sunrise Youth Center, Newton, IL",3193
Jasper,,,,"Sunrise Youth Center, Newton, IL",3184
Jasper,,,,Sunrise Youth Center,7602
Jasper,,,,Sunrise Youth Center,7578
Jasper,,,,"Sunrise Youth Center, Newton, IL",3190
Jasper,,,,"Latona Church of Christ, Wheeler, IL",3172
Jasper,,,,"1401 Clayton Ave., Newton, IL",10843
Jasper,,,,"101 Maxwell St, Newton, IL",11265
Jasper,,,,"Sunrise Youth Center, Newton, IL",3173
Jasper,,,,"13225 IL-33, Newton, IL",10817
Jasper,,,,"Peterson Park, Newton, IL",3178
Jasper,,,,201 West Ave.,5954
Jasper,,,,"201 West End Ave, Newton, IL",11234
Jasper,,,,Sunrise Youth Center,7603
Jasper,,,,"Sam Parr State Park, Newton, IL",195
Jasper,,,,"Newton Community High School, Newton, IL",3502
Jasper,,,,"Sam Parr State Park, Newton",3999
Jasper,,,,Newton Community High School,7601
Jasper,,,,"Newton Community High School, Newton, IL",3495
Jasper,,,,"1216 W Jourdan St, Newton, IL",11268
Jefferson,,,,"468 North Ken Gray Parkway, Ina, IL",8521
Jefferson,,,,,4399
Jefferson,,,,,4405
Jefferson,,,,"4618 Broadway St, Mt Vernon, IL 62864",4398
Jefferson,,,,"4618 Broadway St, Mt Vernon, IL 62864",7871
Jefferson,,,,Christ Our Rock,8141
Jefferson,,,,"4618 Broadway St, Mt Vernon, IL 62864",4394
Jefferson,,,,Du Bois,3179
Jefferson,,,,"4618 Broadway St, Mt Vernon, IL 62864",4395
Jefferson,,,,Extension,2672
Jefferson,,,,"4618 Broadway St, Mt Vernon, IL 62864",4397
Jefferson,,,,Woodlawn Community Building,2646
Jefferson,,,,Rend Lake College,2676
Jefferson,,,,Extension,2677
Jefferson,,,,"4618 Broadway St, Mt Vernon, IL 62864",7879
Jefferson,,,,"202 S Central St, Woodlawn, IL 62898",4400
Jefferson,,,,"233 Dix-Irving Rd, Dix, IL",8519
Jefferson,,,,"4618 Broadway St, Mt Vernon, IL 62864",7880
Jefferson,,,,"Jefferson County Extension Office, 4618 Broadway, Mt. Vernon, IL",9136
Jefferson,,,,Woodlawn HS,8139
Jefferson,,,,Waltonville HS,4415
Jefferson,,,,"Webber HS Bluford, IL",8043
Jefferson,,,,Waltonville,8185
Jefferson,,,,Waltonville HS,4314
Jefferson,,,,Jefferson/Washington County Offices,4321
Jefferson,,,,"800 S 27th St, Mt Vernon, IL",8251
Jefferson,,,,"623 S 34th St, Mt Vernon, IL 62864",7848
Jefferson,,,,"623 S 34th St, Mt Vernon, IL 62864",7852
Jefferson,,,,Mt. Vernon,684
Jefferson,,,,Woodlawn HS,4416
Jefferson,,,,,7872
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",7875
Jefferson,,,,Woodlawn,681
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",7867
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",7864
Jefferson,,,,Woodlawn,676
Jefferson,,,,Woodlawn,675
Jefferson,,,,Bluford,679
Jefferson,,,,Extension,2673
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",7874
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",7873
Jefferson,,,,St. Mary School,285
Jefferson,,,,Mt. Vernon,382
Jefferson,,,,St. Mary School,286
Jefferson,,,,,4401
Jefferson,,,,Woodlawn,8183
Jefferson,,,,Woodlawn,673
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",7863
Jefferson,,,,"804 W Knob St, Waltonville, IL 62894",4402
Jefferson,,,,Woodlawn,680
Jefferson,,,,Field School,8140
Jefferson,,,,Woodlawn,672
Jefferson,,,,"401 N 30th St, Mt Vernon, IL 62864",7855
Jefferson,,,,Grand Prairie,683
Jefferson,,,,Grand Prairie,682
Jefferson,,,,"401 N 30th St, Mt Vernon, IL 62864",7854
Jefferson,,,,"468 North Ken Gray Parkway, Ina, IL 62846",7878
Jefferson,,,,Extension,2674
Jefferson,,,,"401 N 30th St, Mt Vernon, IL 62864",7858
Jefferson,,,,J.L. Buford School,1542
Jefferson,,,,Bluford,674
Jefferson,,,,"901 6th St, Bluford, IL",8209
Jefferson,,,,"21075 N Hails Ln, Texico, IL 62889",7868
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",8208
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",8206
Jefferson,,,,Woodlawn,677
Jefferson,,,,Woodlawn,678
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",8207
Jefferson,,,,"Woodlawn Grade School;  301 S Central St, Woodlawn, IL",9150
Jefferson,,,,"11101 N Wells Bypass, Mt Vernon, IL 62864",8522
Jefferson,,,,"233 Dix-Irvington Rd, Dix IL 62830",8210
Jefferson,,,,Mount Vernon High School,4501
Jefferson,,,,"233 Dix-Irvington Rd, Dix IL 62830",8205
Jefferson,,,,"4618 Broadway St, Mt Vernon, IL 62864",7877
Jefferson,,,,"301 S Central St, Woodlawn, IL 62898",8202
Jefferson,,,,Mount Vernon High School,4793
Jefferson,,,,"468 North Ken Gray Parkway, Ina, IL 62846",7876
Jefferson,,,,"Army Corps of Engineer Rend Lake Project Office; 11981 Rend City Rd, Benton, IL",9133
Jefferson,,,,Rend Lake College,2645
Jefferson,,,,Mt. Vernon,1374
Jefferson,,,,"Rend Lake College, 468 North Ken Gray Parkway, Ina, IL",9139
Jersey,,,,Extension Office,1786
Jersey,,,,Jersey County Fairgrounds,6517
Jersey,,,,Extension Office,1785
Jersey,,,,"201 W. Exchange Street Jerseyville, IL 62052",10631
Jersey,,,,"201 W Exchange St. Jerseyville, IL",9443
Jersey,,,,Jersey County Fairgrounds,6519
Jersey,,,,Jersey County Fairgrounds,6515
Jersey,,,,Moore Shorthorn,1781
Jersey,,,,Jersey County Fairgrounds,1784
Jersey,,,,"100 W. Fairgrounds Jerseyville, IL 62052",10630
Jersey,,,,Jersey County Fairgrounds,6510
Jersey,,,,Fairgrounds,1779
Jersey,,,,"201 W Exchange St. Jerseyville, IL",8605
Jersey,,,,"201 W Exchange St. Jerseyville, IL",8606
Jersey,,,,"100 W. Fairgrounds Jerseyville, IL",9447
Jersey,,,,"201 W Exchange St. Jerseyville, IL",9444
Jersey,,,,Fairgrounds,1783
Jersey,,,,Barr Housing Community Room,1213
Jersey,,,,Jersey County Extension Office,6525
Jersey,,,,"201 W Exchange St. Jerseyville, IL",8604
Jersey,,,,"201 W Exchange St. Jerseyville, IL",8602
Jersey,,,,Jersey County Fairgrounds,6518
Jersey,,,,Jersey County Extension Office,6521
Jersey,,,,Pere Marquette State Park,1216
Jersey,,,,Jersey County Extension Office,6524
Jersey,,,,"201 W Exchange St. Jerseyville, IL",8601
Jersey,,,,"100 W. Fairgrounds Jerseyville, IL",9445
Jersey,,,,"720 IL-16, Jerseyville, IL",8621
Jersey,,,,Barr Housing Community Center,1763
Jersey,,,,Barr Housing Community Room,3093
Jersey,,,,Jersey County Extension Office,6523
Jersey,,,,"201 W Exchange St. Jerseyville, IL",9442
Jersey,,,,Extension Office,1756
Jersey,,,,"201 W Exchange St Suite A, Jerseyville IL 62052 Jersey County Office",10270
Jersey,,,,Barr Housing Community Center,1777
Jersey,,,,Jersey County Extension Office,6520
Jersey,,,,"801 N State St, Jerseyville, IL",8609
Jersey,,,,Jersey County Extension Office,6522
Jersey,,,,Jersey County Extension Office,1765
Jersey,,,,"201 W. Exchange St. Jerseyville, IL 62052",10634
Jersey,,,,"201 W Exchange St. Jerseyville, IL",8608
Jersey,,,,Extension Office,1762
Jersey,,,,Grafton Grade School,1750
Jersey,,,,"201 W. Exchange St. Jerseyville, IL 62052",10635
Jersey,,,,Barr Housing Community Room,1214
Jersey,,,,Jersey County Extension Office,6513
Jersey,,,,Barr Housing Community Center,1752
Jersey,,,,"Feyerabend Building, Jerseyville",1761
Jersey,,,,Jerseyville Jr. High,1766
Jersey,,,,Jerseyville High School,1764
Jersey,,,,West Elementary School,1754
Jersey,,,,East Elementary School,1753
Jersey,,,,Extension Office,1760
Jersey,,,,Jerseyville East Elementary,9364
Jersey,,,,Barr Housing Community Center,210
Jo Daviess,,,,"13961 US Hwy 20 W, East Dubuque IL",10965
Jo Daviess,,,,"13961 US Hwy 20 W, East Dubuque, IL",11403
Jo Daviess,,,,"Sinsinawa Mound, 585 Sinsinawa Rd. Sinsinawa WI",10951
Jo Daviess,,,,"Elizabeth Community Fairgrounds, 402 West St., Elizabeth IL",10971
Jo Daviess,,,,"Sinsinawa Mound, 585 Sinsinawa Rd., Sinsinawa, WI",10964
Jo Daviess,,,,"260 Thunder Bay Rd., Galena IL",10950
Jo Daviess,,,,"Elizabeth Community Fairgrounds, 402 West St., Elizabeth IL",10973
Jo Daviess,,,,"Elizabeth Community Fairgrounds, 402 West St., Elizabeth IL",10972
Jo Daviess,,,,"Elizabeth Community Fairgrounds, 402 West St., Elizabeth IL",10968
Jo Daviess,,,,"Elizabeth Community Fairgrounds, 402 West St., Elizabeth IL",10969
Jo Daviess,,,,"Elizabeth Community Fairgrounds, 402 West St., Elizabeth IL",10970
Jo Daviess,,,,"2517 N Cogan Ln, Galena IL",10953
Jo Daviess,,,,"Escape Room Dubuque, 1620 JFK Road, Dubuque, IA",10368
Jo Daviess,,,,"Galena Middle School, 1230 N. Franklin, Galena IL",10371
Jo Daviess,,,,"Galena Middle School, 1230 N. Franklin, Galena IL",10934
Jo Daviess,,,,"Sinisinawa Mound, 585 Sinsinawa Rd. Sinsinawa, WI",10948
Jo Daviess,,,,"Sinsinawa Mound, 585 Sinsinawa Rd., Sinsinawa, WI",10939
Jo Daviess,,,,"Sinsinawa Mound, 858 Sinsinawa Rd., Sinsinawa, WI",10943
Jo Daviess,,,,"Christ Lutheran Church, 600 N Main St, Stockton, IL",10369
Jo Daviess,,,,"Elizabeth Community Building, 402 West St., Elizabeth IL",10370
Jo Daviess,,,,"Elizabeth Community Fairgrounds, 402 West St., Elizabeth IL",10263
Jo Daviess,,,,"Discovery Center Museum, 711 N Main St, Rockford, IL",8911
Jo Daviess,,,,"711 N Main St, Rockford, IL",7553
Jo Daviess,,,,"711 N Main St, Rockford, IL",7554
Jo Daviess,,,,Extension Office,4544
Jo Daviess,,,,"Discovery Center Museum, 711 N Main St, Rockford, IL",8912
Jo Daviess,,,,"Discovery Center, Rockford IL",1193
Jo Daviess,,,,,1642
Jo Daviess,,,,Elizabeth,2627
Jo Daviess,,,,East Dubuque Library,188
Jo Daviess,,,,"Stockton Township Library, 140 W. Benton Ave., Stockton, IL",9430
Jo Daviess,,,,Stockton Township Public Library,9622
Jo Daviess,,,,Stockton Township Library,3981
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. McDermott-Saint Mary's),4029
Jo Daviess,,,,Stockton,1566
Jo Daviess,,,,Stockton Library,5915
Jo Daviess,,,,"Galena ARC, 11084 US Hwy 20 W, Galena IL",8216
Jo Daviess,,,,Lake Summerset,1102
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Kurschner-Warren),4002
Jo Daviess,,,,"Extension Office, 204 Vine St. Elizabeth IL",10967
Jo Daviess,,,,"Mississippi Palisades State Park, 16327A IL-84, Savanna, IL-- St. Mary's (Whiteside)",7907
Jo Daviess,,,,Mississippi Palisades State Park (Ms. Jacobs- Tampico),4007
Jo Daviess,,,,"Stockton Township Library, 140 W. Benton Ave., Stockton, IL",9582
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Byam-Fulton),4006
Jo Daviess,,,,"Mississippi Palisades State Park16327A IL-84, Savanna, IL-, - Mrs Ebersole's class- Morrison",7905
Jo Daviess,,,,"Stockton Township Library, 140 W. Benton Ave., Stockton, IL",8647
Jo Daviess,,,,"Galena ARC, 11084 US Hwy 20 W, Galena IL",8217
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Walters-River Ridge),4028
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Fry-River Ridge),4003
Jo Daviess,,,,"Mississippi Palisades State Park, 16327A IL-84, Savanna, IL-- Mrs. Robertson's Class- Morrison",7903
Jo Daviess,,,,"Mississippi Palisades State Park, 16327A IL-84, Savanna, ILk- Mrs. Ponds' class- Morrison",7906
Jo Daviess,,,,"Mississippi Palisades State Park,16327A IL-84, Savanna, IL- - Ms. Mewhirter's Class-Tampico",7902
Jo Daviess,,,,"Mississippi Palisades State Park, 16327A IL-84, Savanna, IL--Ms. Behren's Class- Tampico",7901
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Geyer-Fulton),4004
Jo Daviess,,,,"Stockton Township Library, 140 W Benton Ave, Stockton, IL",8001
Jo Daviess,,,,Scales Mound,1101
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Strehlow-Fulton),4005
Jo Daviess,,,,"Mississippi Palisades State Park, 16327A IL-84, Savanna, IL-- Mrs. Westcott's class- Morrison",7904
Jo Daviess,,,,,5786
Jo Daviess,,,,Mississippi Palisades State Park (Mr. Birkholz-Galena),4001
Jo Daviess,,,,"CTE Academy, 950 US Hwy 20 W, Elizabeth IL",8767
Jo Daviess,,,,Mississippi Palisades State Park (Mrs Cruse- Morrison),4009
Jo Daviess,,,,"Stockton Township Library, 140 W. Benton Ave., Stockton IL",8498
Jo Daviess,,,,Mississippi Palisades State Park (Mrs Pons- Morrison),4010
Jo Daviess,,,,"Stockton Township Library, 140 W. Benton Ave., Stockton, IL",8598
Jo Daviess,,,,Galena Library,268
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Haag),4906
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Haag),4907
Jo Daviess,,,,Stockton Elementary School (Mrs. Rillie),5199
Jo Daviess,,,,Stockton Elementary School (Mrs. Rillie),5201
Jo Daviess,,,,Mississippi Palisades State Park (Mrs Westcott- Morrison),4008
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Henry),4909
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Henry),4908
Jo Daviess,,,,Stockton Library,5289
Jo Daviess,,,,Mississippi Palisades State Park (Ms. Alexander-Washington Elem),4045
Jo Daviess,,,,Mississippi Palisades State Park (Ms. Alexander-Washington Elem),4046
Jo Daviess,,,,Stockton Elementary School (Mrs. Powell),5200
Jo Daviess,,,,Stockton Elementary School (Mrs. Powell),5202
Jo Daviess,,,,Mississippi Palisades State Park (Mr. Delgado),4915
Jo Daviess,,,,Mississippi Palisades State Park (Mr. Delgado),4910
Jo Daviess,,,,"Galena- Camp Casper, Casper Bluff Land Preserve",1567
Jo Daviess,,,,"Stockton Township Library, 140 W Benton Ave. Stockton IL",8391
Jo Daviess,,,,Warren Elementary School,4891
Jo Daviess,,,,Stockton Library,4050
Jo Daviess,,,,Mississippi Palisades State Park (Yingling-West Carroll),4904
Jo Daviess,,,,Mississippi Palisades State Park (Yingling-West Carroll),4905
Jo Daviess,,,,"Stockton Township Library, 140 W Benton Ave, Stockton, IL",8120
Jo Daviess,,,,River Ridge Middle School,665
Jo Daviess,,,,"Elizabeth Community Building, 402 W. St., Elizabeth IL",8579
Jo Daviess,,,,ARC-Galena,5909
Jo Daviess,,,,Galena Art and Recreation Center,709
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Harts),4925
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Harts),4926
Jo Daviess,,,,Elizabeth Community Building,6105
Jo Daviess,,,,East Dubuque Library,1568
Jo Daviess,,,,Warren Elementary School- 4th graders,187
Jo Daviess,,,,Stockton Elementary School,1004
Jo Daviess,,,,Mississippi Palisades State Park (Mrs Offenheiser and Mrs. Thompson),4105
Jo Daviess,,,,River Ridge Elementary School,925
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Schuldt),4928
Jo Daviess,,,,Mississippi Palisades State Park (Mrs. Schuldt),4929
Jo Daviess,,,,"Stockton Township Library, 140 W Benton Ave, Stockton, IL",7954
Jo Daviess,,,,Stockton,4707
Jo Daviess,,,,Elizabeth Community Building,6102
Jo Daviess,,,,"Elizabeth Community Building, 402 West St. Elizabeth, IL",10261
Jo Daviess,,,,CTE Academy,957
Jo Daviess,,,,Turner Hall,1249
Jo Daviess,,,,Galena Middle School- 5th graders,197
Jo Daviess,,,,"CTE Academy-Elizabeth, IL",4886
Jo Daviess,,,,Galena Middle School,664
Jo Daviess,,,,Galena Middle School- 6th graders,185
Jo Daviess,,,,"Galena Middle School, 1230 Franklin St, Galena, IL",10407
Jo Daviess,,,,River Ridge School,336
Jo Daviess,,,,Galena Middle School,4026
Johnson,,,,Vienna,1849
Johnson,,,,"8364 Shawnee College Rd, Ullin, IL",9212
Johnson,,,,"8364 Shawnee College Rd, Ullin, IL",8516
Johnson,,,,New Simpson Hill School,7831
Johnson,,,,"201 S Ferne Clyffe Road, Goreville, IL",8189
Johnson,,,,New Simpson Hill School,7826
Johnson,,,,New Simpson Hill School,7828
Johnson,,,,"8364 Shawnee College Rd, Ullin, IL",9137
Johnson,,,,New Simpson Hill School,7832
Johnson,,,,"95 Tunnel Hill Rd, Ozark, IL",8843
Johnson,,,,Vienna,4482
Johnson,,,,"8364 Shawnee College Rd, Ullin, IL",9144
Johnson,,,,"8364 Shawnee College Rd, Ullin, IL",9214
Johnson,,,,Vienna,4483
Johnson,,,,"Heron Pond Ln, Belknap Precinct, IL",8188
Johnson,,,,"8364 Shawnee College Rd, Ullin, IL",9213
Johnson,,,,Vienna,5844
Johnson,,,,Vienna,1485
Johnson,,,,Goreville,1450
Johnson,,,,"201 S Feryne Clyffe Road, Goreville, IL",9682
Johnson,,,,"354 St Hwy 145 N, Simpson, IL",8929
Johnson,,,,Goreville,7449
Johnson,,,,Goreville,1452
Johnson,,,,Ullin,5850
Johnson,,,,"310 N Third Street, Vienna",8844
Johnson,,,,Shawnee Community College,1456
Johnson,,,,Simpson,1455
Johnson,,,,"90 Goreville Road, Goreville, IL",8187
Johnson,,,,,5846
Kane,,,,,9023
Kane,,,,,11670
Kane,,,,535 S. Randall Rd,11477
Kane,,,,8 North  Avenue,2629
Kane,,,,Abbott Middle School,11653
Kane,,,,Aurora Illlinois,2639
Kane,,,,Harris Forest Preserve,11658
Kane,,,,Kendall County Extension Office,11662
Kane,,,,Kane St.,2941
Kane,,,,Kane St.,2945
Kane,,,,855 Constitution Drive,2949
Kane,,,,855 Constitution Drive,2950
Kane,,,,855 Constitution Drive,2951
Kane,,,,855 Constitution Drive,2952
Kane,,,,855 Constitution Drive,2953
Kane,,,,855 Constitution Drive,2954
Kane,,,,8 North  Avenue,2635
Kane,,,,540 Longwood Dr.,840
Kane,,,,4N505 Fox Mill Blvd,525
Kane,,,,46w470 ElliThorpe Rd.,8864
Kane,,,,417 W. Main St.,6545
Kane,,,,7N095 Ridgeline Rd.,844
Kane,,,,4N505 Fox Mill Blvd,472
Kane,,,,7N095 Ridgeline Rd,6547
Kane,,,,540 Longwood Dr.,5377
Kane,,,,1200 Dunham Rd,8883
Kane,,,,1200 Dunham Rd,8877
Kane,,,,7N095 Ridgeline Rd,8852
Kane,,,,417 W. Main St.,839
Kane,,,,Addison Public Library,11655
Kane,,,,540 Longwood Drive,8854
Kane,,,,300 W. Cleveland Ave,8874
Kane,,,,Camp Shaw-waw-nas-see,3244
Kane,,,,7N035 Ridge Line Rd,5383
Kane,,,,950 Hart Rd.,6558
Kane,,,,106 N. Barrinton Rd.,6587
Kane,,,,The Main Event,11645
Kane,,,,300 Cleveland Ave.,6568
Kane,,,,300 W. Cleveland Ave.,850
Kane,,,,745 Davis Rd.,1011
Kane,,,,950 Hart Rd.,8847
Kane,,,,600 Columbia St,2651
Kane,,,,5 S. VanBuren,6557
Kane,,,,550 S Lincoln,6743
Kane,,,,900 Wester Blvd.,6540
Kane,,,,299 Melrose,2936
Kane,,,,1000 Jungels Ave,698
Kane,,,,288 E. Jefferson Ave.,8879
Kane,,,,255 James J. Davis Drive,835
Kane,,,,251 Amarillo Dr.,8875
Kane,,,,540 Longwood Dr.,5380
Kane,,,,63 S. Channing St.,854
Kane,,,,1000 Jungles,6556
Kane,,,,900 Wester Blvd,699
Kane,,,,251 Amarillo,6569
Kane,,,,900 Wester Blvd,700
Kane,,,,251 Amarillo Drive,860
Kane,,,,85 S. Constitution Drive,696
Kane,,,,540 Longwood Dr.,8856
Kane,,,,109 N. Spring St.,6582
Kane,,,,Rt. 31,8870
Kane,,,,900 Wester Blvd,701
Kane,,,,900 Wester Blvd,702
Kane,,,,103 S. Gifford St.,6585
Kane,,,,540 Longwood Dr.,8855
Kane,,,,2001 Heather Dr.,6553
Kane,,,,3501 Hapner Way,8862
Kane,,,,2001 Heather Dr.,6554
Kane,,,,124 Golfview Lane,6550
Kane,,,,124 Golfview Lane,599
Kane,,,,600 Columbia St,2929
Kane,,,,Golfview Elementary,606
Kane,,,,1000 Jungels Ave,697
Kane,,,,124 Golfview Ln.,8859
Kane,,,,540 Longwood Dr.,5378
Kane,,,,540 Longwood Dr,8858
Kane,,,,540 Longwood Dr.,5379
Kane,,,,2901 Foxmoor Dr.,8869
Kane,,,,613 W. Bittersweet,6575
Kane,,,,700 S. Farnsworth Ave,2641
Kane,,,,1000 Jungels Ave,695
Kane,,,,Gayle Borden Library,11666
Kane,,,,819 W Chicago St,857
Kane,,,,35 S. Constitution,604
Kane,,,,1000 Jungles,6555
Kane,,,,63 S. Channing St.,849
Kane,,,,787 Crane Rd.,842
Kane,,,,507 Arnold Ave,836
Kane,,,,150 Harvard,8846
Kane,,,,63 S. Channing St.,6542
Kane,,,,80 North Aerlite St,692
Kane,,,,"535 S. Randall Road,",3248
Kane,,,,540 Longwood Dr.,5376
Kane,,,,950 Hart Rd,703
Kane,,,,36W730 Red Haw,1012
Kane,,,,535 S. Randall Rd,704
Kane,,,,800 Seventh Ave.,2931
Kane,,,,5 S. Van Buren,8866
Kane,,,,255 Harvard Ave,5375
Kane,,,,1141 Jackson St.,6548
Kane,,,,124 Golfview Ln.,8860
Kane,,,,Reckenger Rd,2938
Kane,,,,63 S Channing St,6544
Kane,,,,1141 Jackson St.,6746
Kane,,,,Marquardt Middle School,11647
Kane,,,,109 North Spring Street,8880
Kane,,,,540 Longwood Dr,8857
Kane,,,,Irving Park,8876
Kane,,,,3501 Hapner Way,8863
Kane,,,,504 Longwood Dr.,855
Kane,,,,540 Longwood Dr.,861
Kane,,,,1000 Jungles Ave,2933
Kane,,,,1000 Jungles,6576
Kane,,,,80 N Airlite,8865
Kane,,,,109 North Spring street,865
Kane,,,,819 W Chicago St,843
Kane,,,,346 W Army Trial Blvd.,5381
Kane,,,,540 Longwood Dr.,858
Kane,,,,Rollins School,11643
Kane,,,,724 Pennsylvania Ave.,846
Kane,,,,1776 State St.,6605
Kane,,,,600 Columbia St.,6710
Kane,,,,950 Kane St.,6744
Kane,,,,2901 Foxmoor Drive,953
Kane,,,,700 S. Farnsworth Ave,2930
Kane,,,,600 Columbia St.,232
Kane,,,,103 S Gifford St.,693
Kane,,,,5 S. VanBuren,841
Kane,,,,654 E. Benton St.,6748
Kane,,,,288 E. Jefferson,6580
Kane,,,,1130 Sheffer Rd.,2947
Kane,,,,Rollins School 950 Kane st.  Aurora,10470
Kane,,,,Bardwell School,11642
Kane,,,,211 S. 6th Ave.,1349
Kane,,,,Camp Shaw-waw-nas-see,3196
Kane,,,,Kane St.,2940
Kane,,,,600 Columbia St.,694
Kane,,,,1776 W. State St.,2957
Kane,,,,85 S. Main St.,8867
Kane,,,,898 Glen Oaks Dr.,6579
Kane,,,,550 Second Ave.,6742
Kane,,,,2830 Molitor Road,1548
Kane,,,,340 S. School St,8849
Kane,,,,2901 Foxmoor Drive,859
Kane,,,,1141 Jackson St Aurora,10473
Kane,,,,1122 Anderson Rd,856
Kane,,,,1934 liberty St,2935
Kane,,,,1130 Sheffer Rd.,6749
Kane,,,,441 N Farnsworth,7014
Kane,,,,2901 Foxmor Drive,6567
Kane,,,,56 Jackson St.,2956
Kane,,,,855 Constitution Drive,2948
Kane,,,,898 Glen Oak Drive,867
Kane,,,,898 Glen Oaks Dr.,8878
Kane,,,,954 E. Benton St.,2648
Kane,,,,954 E. Benton St.,2650
Kane,,,,1640 Reckinger Rd,2939
Kane,,,,1122 Anderson Rd.,6565
Kane,,,,800 Seventh Ave.,2932
Kane,,,,1934 liberty St,2934
Kane,,,,3501 Hapner Way,6551
Kane,,,,340 S. School St.,6593
Kane,,,,500 Harvest Gate,8868
Kane,,,,500 Harvest Gate,6566
Kane,,,,572 Standish St.,8881
Kane,,,,85 S. Main St.,6560
Kane,,,,909 Brundige Rd,2959
Kane,,,,8 North Ave.,6741
Kane,,,,240 Melrose Ave,2937
Kane,,,,500 Harvest Gate,845
Kane,,,,855 Constitution Drive,2955
Kane,,,,85 S. Main St.,838
Kane,,,,550 S Lincoln Aurora,10475
Kane,,,,729 Paperbark Lane,847
Kane,,,,900 Wester Blvd.,6538
Kane,,,,8 North Ave.,10131
